,Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All
53,11/16/2011,07:26,Wednesday,GSK,51.7,0.61,73.4,80.4,9.53,42.3,38.6,No
54,11/15/2011,17:36,Tuesday,Home,51.06,0.37,61.4,70.9,9.53,49.9,43.2,No
55,11/15/2011,07:21,Tuesday,GSK,51.5,0.54,70.5,77.7,9.53,43.8,39.8,No
56,11/14/2011,16:15,Monday,Home,51.06,0.25,64.4,70.2,9.53,47.6,43.6,No
57,11/14/2011,07:19,Monday,GSK,51.66,0.49,55.2,59.1,9.53,56.1,52.5,No
58,11-10-2011,16:11,Thursday,Home,51.07,0.61,75.2,82.6,9.53,40.8,37.1,No
59,11-10-2011,07:25,Thursday,GSK,51.68,0.71,69.8,74.7,9.53,44.4,41.5,No
60,11-09-2011,16:15,Wednesday,Home,51.28,0.32,65.9,71.8,9.35,46.7,42.1,No
61,11-09-2011,07:25,Wednesday,GSK,51.79,0.53,65.6,72.4,9.35,47.3,42.9,No
62,11-08-2011,17:24,Tuesday,Home,50.75,0.67,89.5,93.5,9.35,34.3,32.6,Yes
63,11-08-2011,07:25,Tuesday,GSK,51.82,0.51,66.1,73.9,9.35,47,42.1,No
64,11-07-2011,16:05,Monday,Home,51.06,0.53,80.4,85.2,9.35,38.1,36,No
65,11-07-2011,07:19,Monday,GSK,51.62,0.46,74.9,82.9,9.35,41.4,37.4,No
66,11-04-2011,12:12,Friday,Home,51.03,0.56,82.2,89.7,9.35,37.2,34.1,No
67,11-04-2011,08:16,Friday,GSK,51.81,0.63,82.1,85,9.35,37.9,36.6,No
68,11-03-2011,17:00,Thursday,Home,51.07,0.63,75.8,81.7,8.32,40.4,37.5,No
69,11-03-2011,07:46,Thursday,GSK,51.83,0.72,80.6,85.4,8.32,38.6,36.4,No
70,11-02-2011,16:45,Wednesday,Home,51.27,0.32,75.1,79.1,8.32,41,38.9,No
71,11-02-2011,07:51,Wednesday,GSK,51.83,0.6,72.5,78.1,8.32,42.9,39.8,No
72,11-01-2011,08:13,Tuesday,GSK,51.74,0.61,71.8,79.4,8.32,43.2,39.1,No
73,10/31/2011,15:49,Monday,Home,51.06,0.45,76.4,85.7,8.32,40.1,35.7,No
74,10/31/2011,06:21,Monday,GSK,50.58,0.45,104.4,106.2,8.32,29.1,28.6,Yes
75,10/28/2011,12:14,Friday,Home,51.28,0.29,83,89.5,8.32,37.1,34.4,No
76,10/27/2011,08:20,Thursday,GSK,51.77,0.47,82.4,89.5,8.97,37.7,34.7,No
77,10/26/2011,08:20,Wednesday,GSK,51.75,0.55,74.6,81.7,8.97,41.6,38,No
78,10/25/2011,17:24,Tuesday,Home,52.87,0.39,65.1,72.4,8.97,48.7,43.8,No
79,10/25/2011,08:13,Tuesday,GSK,51.75,0.53,72.1,82,8.97,43.1,37.8,No
80,10/24/2011,17:29,Monday,Home,51.06,0.5,71.6,78.6,8.97,42.8,39,No
81,10/21/2011,08:31,Friday,GSK,50.64,0.59,106.6,112.1,8.97,28.5,27.1,Yes
82,10/20/2011,17:37,Thursday,Home,51.33,0.45,72.5,79.6,8.75,42.5,38.7,No
83,10/20/2011,08:22,Thursday,GSK,51.74,0.43,68.9,79.2,8.75,45,39.2,No
84,10/19/2011,17:39,Wednesday,Home,51.3,0.49,63.4,73.3,8.75,48.6,42,No
85,10/19/2011,08:24,Wednesday,GSK,51.68,0.63,75.7,81.6,8.75,41,38,No
86,10/18/2011,17:28,Tuesday,Home,51.36,0.73,69.5,79.1,8.75,44.4,38.9,No
87,10/18/2011,08:14,Tuesday,GSK,51.74,0.65,80.8,85.2,8.75,38.4,36.5,No
88,10/17/2011,16:58,Monday,Home,51.3,0.53,78.6,82.9,8.75,39.1,37.1,No
89,10/17/2011,08:22,Monday,GSK,50.61,0.87,93.7,100.3,8.75,32.4,30.3,Yes
90,10/13/2011,08:36,Thursday,GSK,50.66,0.56,105.5,111.3,8.75,28.8,27.3,Yes
91,10-12-2011,17:47,Wednesday,Home,51.4,0.08,59.7,65.8,8.75,51.7,46.9,No
92,10-12-2011,08:28,Wednesday,GSK,50.58,0.56,59.5,67.3,8.75,51,45.1,Yes
93,10-11-2011,17:17,Tuesday,Home,51.52,0.8,67.3,78.4,7.81,46,39.5,No
94,10-11-2011,08:25,Tuesday,GSK,48.94,0.65,85.7,93.2,7.81,34.3,31.5,Yes
95,10-07-2011,12:15,Friday,Home,51.02,0.44,80.4,88.9,7.97,38.1,34.4,Yes
96,10-07-2011,08:23,Friday,GSK,50.68,0.56,101.9,107.2,7.97,29.9,28.4,Yes
97,10-06-2011,17:58,Thursday,Home,51.29,0.48,73.3,76.3,7.97,42,40.3,No
98,10-06-2011,08:22,Thursday,GSK,50.63,0.47,38.5,103.8,7.97,30.8,29.3,Yes
99,10-05-2011,17:10,Wednesday,Home,51.31,0.53,69.5,75.5,7.97,44.3,40.8,No
100,10-05-2011,08:36,Wednesday,GSK,50.59,0.57,103.4,108,7.97,29.4,28.1,Yes
101,10-04-2011,17:39,Tuesday,Home,51.15,0.58,76,85.2,7.97,40.4,36,No
102,10-04-2011,07:42,Tuesday,GSK,50.67,0.53,94.9,97.9,7.97,32,31.1,Yes
103,10-03-2011,17:31,Monday,Home,51.22,0.51,81.2,86.4,7.97,37.8,35.6,No
104,10-03-2011,07:41,Monday,GSK,50.65,0.53,91.1,95.2,7.97,33.4,31.9,Yes
105,9/29/2011,17:17,Thursday,Home,51.39,0.56,65.3,71.9,8.93,47.2,42.9,No
106,9/29/2011,08:22,Thursday,GSK,50.65,0.37,83.5,86.9,8.93,36.4,35,Yes
107,9/28/2011,17:53,Wednesday,Home,51.23,0.44,79.2,81.5,8.93,38.8,37.7,No
108,9/28/2011,07:57,Wednesday,GSK,50.65,0.58,102.2,105.7,8.93,29.7,28.7,Yes
109,9/27/2011,17:26,Tuesday,Home,51.11,0.62,69.8,75.6,8.31,44,40.6,No
110,9/27/2011,07:36,Tuesday,GSK,50.65,0.55,86.3,88.6,8.31,35.2,34.3,Yes
111,9/26/2011,17:37,Monday,Home,50.69,0.7,97.2,103.6,8.31,31.3,29.3,Yes
112,9/26/2011,08:02,Monday,GSK,50.65,0.6,88.2,91.3,8.31,34.4,33.3,Yes
113,9/22/2011,17:27,Thursday,Home,51.11,0.44,74.3,79.6,8.31,41.3,38.5,No
114,9/22/2011,07:37,Thursday,GSK,50.67,0.62,97.6,101.6,8.31,31.1,29.9,Yes
115,9/21/2011,18:05,Wednesday,Home,51.74,0.74,82.9,89.2,8.33,37.4,34.8,Yes
116,9/21/2011,08:02,Wednesday,GSK,49.16,0.57,59.5,68,8.33,49.6,43.4,No
117,9/20/2011,17:20,Tuesday,Home,51.23,0.52,71.7,76.9,8.33,42.9,40,No
118,9/20/2011,08:10,Tuesday,GSK,51.69,0.57,70.4,70.1,8.33,44.1,39.7,No
119,9/19/2011,16:43,Monday,Home,51.3,0.41,69.6,75.2,8.33,44.2,40.9,No
120,9/19/2011,06:34,Monday,GSK,49.09,0.4,69.4,79.1,8.33,42.4,37.3,No
121,9/15/2011,17:50,Thursday,Home,51.13,0.53,69,75.9,8.33,44.4,40.4,No
122,9/15/2011,08:08,Thursday,GSK,50.67,0.6,99,103.3,8.33,30.7,29.4,Yes
123,9/14/2011,17:36,Wednesday,Home,51.77,0.52,71.1,79.6,8.33,43.7,39,No
124,9/14/2011,08:11,Wednesday,GSK,50.54,0.51,98.7,103.7,8.33,30.7,29.3,Yes
125,9/13/2011,17:22,Tuesday,Home,51.58,0.77,70,80,8.5,44.2,38.7,No
126,9/13/2011,07:51,Tuesday,GSK,49.12,0.59,52.7,63.2,8.5,55.9,46.6,No
127,09-12-2011,17:04,Monday,Home,51.43,0.66,75.1,79.5,8.5,40.6,38.8,No
128,09-12-2011,08:05,Monday,GSK,49.12,0.53,65.7,73.1,8.5,44.8,40.3,No
129,09-08-2011,16:37,Thursday,Home,50.92,0.86,66.9,77.7,8.5,45.6,39.3,No
130,09-08-2011,07:23,Thursday,GSK,49.25,0.44,53.5,63.1,8.5,55.2,46.9,No
131,09-07-2011,17:24,Wednesday,Home,51.34,0.72,71.5,76.6,8.5,43.1,40.2,No
132,09-07-2011,07:57,Wednesday,GSK,49.08,0.45,56.5,66.5,8.5,52.1,44.3,No
133,09-06-2011,16:27,Tuesday,Home,52.88,0.68,95.4,98.3,8.5,33.3,32.3,Yes
134,09-06-2011,07:50,Tuesday,GSK,54.36,0.71,95.1,98,8.5,34.3,33.3,Yes
135,09-02-2011,17:07,Friday,Home,51.17,0.61,77.7,87.9,8.5,39.5,34.9,No
136,09-02-2011,07:39,Friday,GSK,51.65,0.71,82.6,91.4,8.5,37.5,33.9,No
137,09-01-2011,17:33,Thursday,Home,52.42,0.58,81.6,88,8.5,38.5,35.7,No
138,09-01-2011,08:08,Thursday,GSK,49.13,0.51,67.3,73.9,8.5,43.8,39.9,No
139,8/31/2011,17:14,Wednesday,Home,51.15,1,71.5,79.5,8.5,42.9,38.6,No
140,8/31/2011,08:09,Wednesday,GSK,49.07,0.54,65.9,77.3,8.5,44.7,38.1,No
141,8/30/2011,17:38,Tuesday,Home,51.66,0.9,67.1,73.2,8.5,46.2,42.4,No
142,8/30/2011,07:57,Tuesday,GSK,49.04,0.74,69.1,77.8,8.5,42.6,37.8,No
143,8/29/2011,17:11,Monday,Home,51.04,0.66,75.5,84.1,8.5,40.5,36.4,No
144,8/29/2011,07:48,Monday,GSK,49.15,0.41,63.9,74,8.5,46.1,39.9,No
145,8/26/2011,16:29,Friday,Home,50.88,0.71,81.1,86.9,8.54,37.6,35.2,No
146,8/26/2011,07:49,Friday,GSK,49.01,0.59,76.3,83.3,8.54,38.6,35.3,No
147,8/25/2011,17:39,Thursday,Home,51.23,0.72,64.2,70.6,8.54,47.9,43.5,No
148,8/25/2011,09:09,Thursday,GSK,50.45,0.74,106.8,111.1,8.54,28.3,27.3,Yes
149,8/24/2011,16:47,Wednesday,Home,51.01,0.72,79.6,86.1,8.54,38.5,38.5,No
150,8/24/2011,07:59,Wednesday,GSK,49.07,0.52,58.5,71.5,8.54,50.3,41.1,No
151,8/23/2011,17:23,Tuesday,Home,51.22,0.61,79.7,84.5,8.54,38.5,36.4,No
152,8/23/2011,07:54,Tuesday,GSK,49.2,0.43,71,76.7,8.54,41.6,38.5,No
153,8/22/2011,16:44,Monday,Home,51.12,0.51,77.9,85.2,8.54,39.6,36,No
154,8/22/2011,07:49,Monday,GSK,49.18,0.4,65.6,73.3,8.54,45,40.2,No
155,8/19/2011,17:42,Friday,Home,51.09,0.5,78.1,81.6,8.37,39.3,37.6,No
156,8/19/2011,07:05,Friday,GSK,49.18,0.38,72,81.4,8.37,41,36.3,No
157,8/18/2011,17:05,Thursday,Home,50.97,0.61,66.6,76.2,8.37,45.9,40.2,No
158,8/18/2011,08:11,Thursday,GSK,52.26,0.89,51.2,64.1,8.37,61.2,48.9,No
159,8/17/2011,17:17,Wednesday,Home,51.11,0.61,68.9,75.7,8.37,44.5,40.5,No
160,8/17/2011,08:10,Wednesday,GSK,49.1,0.44,67.9,76.2,8.37,43.4,38.7,No
161,8/16/2011,17:27,Tuesday,Home,51.14,0.74,82.4,87,8.37,37.2,35.3,No
162,8/16/2011,08:15,Tuesday,GSK,49.14,0.68,75,80.2,8.37,39.3,36.7,No
163,8/15/2011,17:38,Monday,Home,51.11,0.7,78,83.7,8.37,39.3,36.7,No
164,8/15/2011,08:15,Monday,GSK,49.2,0.44,71.3,75.7,8.37,41.4,39,No
165,08-12-2011,17:25,Friday,Home,50.91,0.54,69.6,77.1,8.54,47.9,43.2,No
166,08-12-2011,08:05,Friday,GSK,49.02,0.56,76.7,82.9,8.54,38.4,35.5,No
167,08-11-2011,17:25,Thursday,Home,51.18,0.75,80.7,86,8.54,38,35.7,No
168,08-11-2011,08:13,Thursday,GSK,48.99,0.46,68.3,79.5,8.54,43,37,No
169,08-10-2011,17:14,Wednesday,Home,51.03,0.53,73.5,79.3,8.54,41.7,38.6,No
170,08-10-2011,08:13,Wednesday,GSK,48.98,0.44,72.8,78.8,8.54,40.4,37.3,No
171,08-09-2011,17:13,Tuesday,Home,51.15,0.52,72.1,82.3,8.54,42.5,37.3,No
172,08-09-2011,08:15,Tuesday,GSK,49.08,0.79,60.5,67.2,8.54,48.7,43.8,No
173,08-08-2011,17:05,Monday,Home,52.35,0.53,76.9,84.2,8.54,40.9,37.3,No
174,08-08-2011,08:07,Monday,GSK,49.25,0.49,68.5,78.2,8.54,43.1,37.8,No
175,08-05-2011,17:00,Friday,Home,51.94,0.51,74.5,82.6,8.48,41.9,37.7,No
176,08-05-2011,08:20,Friday,GSK,49.13,0.41,74.1,79.9,8.48,39.8,36.9,No
177,08-04-2011,17:38,Thursday,Home,50.96,0.69,70.3,78.5,8.48,43.5,38.9,No
178,08-04-2011,08:17,Thursday,GSK,49.12,0.36,71.5,77.3,8.48,41.2,38.2,No
179,08-03-2011,17:14,Wednesday,Home,51.64,0.45,72.2,78.7,8.48,42.9,39.4,No
180,08-03-2011,08:06,Wednesday,GSK,49.06,0.34,71.5,78.7,8.48,41.2,37.4,No
181,08-02-2011,17:22,Tuesday,Home,51.16,0.42,76.3,83.2,8.48,40.2,36.9,No
182,08-02-2011,07:38,Tuesday,GSK,53.48,0.44,68.8,78.8,8.48,46.7,40.7,No
183,7/29/2011,20:31,Friday,Home,50.68,0.82,107.7,110.4,8.45,28.2,27.6,Yes
184,7/29/2011,08:22,Friday,GSK,49.07,0.31,73.2,77.7,8.45,40.2,37.9,No
185,7/28/2011,17:46,Thursday,Home,51.09,0.57,76,84.8,8.45,40.3,36.2,No
186,7/28/2011,08:11,Thursday,GSK,49.11,0.28,69.1,73.1,8.45,42.6,40.3,No
187,7/27/2011,17:24,Wednesday,Home,50.98,0.44,68.3,71.9,8.45,44.8,42.6,No
188,7/27/2011,08:15,Wednesday,GSK,48.82,0.43,70.4,77.8,8.45,41.6,37.6,No
189,7/26/2011,17:15,Tuesday,Home,51.28,0.34,43.7,51.5,8.45,70.5,59.8,No
190,7/26/2011,08:11,Tuesday,GSK,49.16,0.36,71.9,76.8,8.45,41,38.4,No
191,7/25/2011,16:59,Monday,Home,51.05,0.5,70.4,78.8,8.45,51.1,38.9,No
192,7/25/2011,08:06,Monday,GSK,48.32,0.31,63.4,78.4,8.45,45.7,37,No
193,7/22/2011,16:47,Friday,Home,51.24,0.49,75.8,81.8,8.28,40.6,37.6,No
194,7/22/2011,08:28,Friday,GSK,51.05,0.39,88.9,96.7,8.28,34.5,31.7,Yes
195,7/21/2011,07:59,Thursday,GSK,48.35,0.6,81.5,89,8.28,35.6,32.6,Yes
196,7/20/2011,17:17,Wednesday,Home,53.47,0.41,58.6,71,7.89,54.8,45.2,No
197,7/20/2011,08:24,Wednesday,GSK,48.5,0.47,75.7,87.3,7.89,38.5,33.3,Yes
198,7/19/2011,17:17,Tuesday,Home,51.16,0.51,92.2,102.6,7.89,33.3,29.9,Yes
199,7/19/2011,08:11,Tuesday,GSK,50.96,0.42,82.3,96.4,7.89,37.2,31.7,Yes
200,7/18/2011,08:09,Monday,GSK,54.52,0.47,49.9,82.4,7.89,65.5,39.7,No
201,7/14/2011,08:03,Thursday,GSK,50.9,0.4,76.2,95.1,7.89,40.1,32.1,Yes
202,7/13/2011,17:08,Wednesday,Home,51.96,0.71,57.5,76.7,8.69,54.2,40.6,Yes
203,07-12-2011,17:51,Tuesday,Home,53.28,0.47,61.6,87.6,8.69,51.9,36.5,Yes
204,07-11-2011,16:56,Monday,Home,51.73,0.45,62.8,92.5,8.69,49.5,33.6,Yes
